DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,HIGH_CONSUMER,Total_Empl
Metro Criminal Justice Comm   ,12/20/2014,0,4
Metro Parks & Recreation,12/22/2012,80,338
Metro Parks & Recreation,4/11/2015,77,343
Metro Parks & Recreation,1/2/2016,84,327
Metro Parks & Recreation,3/26/2016,85,333
Metro Police,4/14/2012,108,1517
Metro Police,5/26/2012,117,1515
Metro Police,7/7/2012,113,1541
Metro Police,10/27/2012,107,1540
Metro Police,8/3/2013,114,1522
Metro Police,12/20/2014,117,1554
Metro Police,10/8/2016,162,1564
Metro Police,5/6/2017,190,1598
Office of Performance Improvmt,12/22/2012,0,5
Office of Performance Improvmt,7/19/2014,0,12
Office of Performance Improvmt,4/11/2015,2,11
Office of Performance Improvmt,12/31/2016,0,14
Office of Performance Improvmt,5/20/2017,1,13
OMB ,12/22/2012,48,173
OMB ,1/5/2013,46,174
OMB ,4/11/2015,43,184
OMB ,4/9/2016,44,198
OMB ,7/30/2016,42,199
OMB ,12/31/2016,45,199
Other Officials               ,1/21/2012,0,3
Other Officials               ,5/11/2013,0,3
Other Officials               ,8/31/2013,0,3
Other Officials               ,3/28/2015,0,3
Other Officials               ,8/12/2017,0,3
Parking Authority of River Cty,10/15/2011,3,20
Parking Authority of River Cty,3/17/2012,5,21
Parking Authority of River Cty,5/11/2013,4,25
Parking Authority of River Cty,8/31/2013,3,25
Parking Authority of River Cty,3/1/2014,3,26
Parking Authority of River Cty,8/16/2014,3,26
Parking Authority of River Cty,11/8/2014,5,27
Parking Authority of River Cty,6/20/2015,2,27
Public Health & Wellness,12/10/2011,107,262
Public Health & Wellness,3/17/2012,102,256
Public Health & Wellness,11/24/2012,88,251
Public Health & Wellness,9/28/2013,53,243
Public Health & Wellness,12/7/2013,49,241
Public Health & Wellness,1/4/2014,52,238
PW&A ,7/21/2012,154,432
PW&A ,4/13/2013,140,436
PW&A ,6/21/2014,122,436
PW&A ,7/5/2014,126,439
PW&A ,5/21/2016,136,452
PW&A ,8/13/2016,149,454
Waterfront Development Corp,9/28/2013,4,21
Waterfront Development Corp,6/7/2014,4,23
Youth Detention Services      ,3/30/2013,22,121
Youth Detention Services      ,4/12/2014,20,117
Youth Detention Services      ,9/26/2015,20,119
Youth Detention Services      ,12/19/2015,24,115
Youth Detention Services      ,3/26/2016,29,112
Youth Detention Services      ,4/8/2017,27,119
Zoo,12/24/2011,25,134
Zoo,11/23/2013,18,138
Zoo,11/21/2015,24,191
Zoo,1/30/2016,23,141
Metro Criminal Justice Comm   ,9/12/2015,0,4
Metro Criminal Justice Comm   ,3/26/2016,0,4
Metro Parks & Recreation,12/7/2013,84,351
Metro Parks & Recreation,5/9/2015,75,357
Metro Parks & Recreation,2/27/2016,83,326
Metro Parks & Recreation,5/20/2017,75,392
Metro Police,4/28/2012,112,1518
Metro Police,9/29/2012,102,1540
Metro Police,11/23/2013,113,1491
Metro Police,2/1/2014,106,1515
Metro Police,6/21/2014,115,1558
Metro Police,8/27/2016,156,1550
Metro Police,11/5/2016,160,1569
Office of Performance Improvmt,8/4/2012,0,4
Office of Performance Improvmt,9/14/2013,1,6
Office of Performance Improvmt,10/12/2013,1,6
Office of Performance Improvmt,12/21/2013,1,7
Office of Performance Improvmt,1/18/2014,1,7
Office of Performance Improvmt,2/15/2014,1,8
Office of Performance Improvmt,9/27/2014,1,10
Office of Performance Improvmt,12/5/2015,0,12
Office of Performance Improvmt,12/3/2016,1,14
Office of Performance Improvmt,1/28/2017,1,13
OMB ,5/10/2014,39,183
Other Officials               ,11/9/2013,0,3
Parking Authority of River Cty,7/21/2012,4,22
Parking Authority of River Cty,9/28/2013,2,25
Parking Authority of River Cty,2/28/2015,3,26
Parking Authority of River Cty,8/29/2015,3,26
Parking Authority of River Cty,6/18/2016,6,30
Parking Authority of River Cty,8/12/2017,5,28
Public Health & Wellness,2/16/2013,75,249
Public Health & Wellness,7/19/2014,65,226
PW&A ,9/15/2012,156,438
PW&A ,11/10/2012,159,437
PW&A ,8/17/2013,130,426
PW&A ,11/8/2014,127,447
PW&A ,9/26/2015,122,456
PW&A ,4/23/2016,137,455
PW&A ,1/28/2017,135,461
PW&A ,2/11/2017,132,461
Waterfront Development Corp,10/27/2012,3,19
Waterfront Development Corp,11/24/2012,3,15
Waterfront Development Corp,2/16/2013,3,17
Waterfront Development Corp,3/15/2014,4,17
Waterfront Development Corp,6/4/2016,6,24
Waterfront Development Corp,12/17/2016,7,17
Waterfront Development Corp,7/29/2017,6,26
Youth Detention Services      ,6/3/2017,30,117
Zoo,10/26/2013,19,254
Zoo,1/17/2015,19,136
Zoo,12/31/2016,17,153
Metro Police,9/13/2014,113,1532
Metro Police,9/12/2015,142,1555
Metro Police,1/16/2016,120,1541
Metro Police,3/26/2016,136,1559
Office of Performance Improvmt,12/10/2011,0,3
Office of Performance Improvmt,11/22/2014,2,11
Office of Performance Improvmt,3/14/2015,2,11
Office of Performance Improvmt,7/4/2015,2,12
Office of Performance Improvmt,9/24/2016,0,12
OMB ,7/20/2013,53,178
OMB ,10/25/2014,43,181
OMB ,5/9/2015,41,188
OMB ,5/23/2015,44,188
OMB ,1/14/2017,42,198
Other Officials               ,6/22/2013,0,3
Other Officials               ,4/12/2014,0,3
Other Officials               ,1/31/2015,0,3
Other Officials               ,4/8/2017,0,3
Other Officials               ,6/3/2017,0,3
Parking Authority of River Cty,3/31/2012,5,21
Parking Authority of River Cty,1/19/2013,5,24
Parking Authority of River Cty,4/27/2013,4,25
Parking Authority of River Cty,11/19/2016,5,28
Public Health & Wellness,1/7/2012,103,263
Public Health & Wellness,3/16/2013,72,249
Public Health & Wellness,1/2/2016,47,197
PW&A ,11/12/2011,167,443
PW&A ,8/4/2012,157,433
PW&A ,9/14/2013,125,424
PW&A ,12/21/2013,121,433
PW&A ,10/11/2014,127,443
PW&A ,8/1/2015,117,451
Waterfront Development Corp,10/1/2011,5,21
Waterfront Development Corp,12/8/2012,3,16
Waterfront Development Corp,3/16/2013,2,17
Waterfront Development Corp,1/3/2015,7,17
Waterfront Development Corp,2/14/2015,8,17
Waterfront Development Corp,2/13/2016,7,17
Youth Detention Services      ,4/14/2012,23,117
Youth Detention Services      ,1/4/2014,22,123
Youth Detention Services      ,5/10/2014,18,117
Youth Detention Services      ,4/25/2015,21,110
Youth Detention Services      ,1/30/2016,29,114
Youth Detention Services      ,7/29/2017,36,106
Youth Detention Services      ,9/9/2017,39,118
Zoo,2/4/2012,23,133
Zoo,6/23/2012,23,258
Zoo,8/18/2012,24,245
Zoo,1/5/2013,25,135
Zoo,5/7/2016,20,261
Metro Parks & Recreation,2/4/2012,80,345
Metro Parks & Recreation,8/18/2012,71,412
Metro Parks & Recreation,10/26/2013,86,378
Metro Parks & Recreation,1/17/2015,71,338
Metro Parks & Recreation,2/28/2015,72,330
Metro Parks & Recreation,8/29/2015,93,376
Metro Parks & Recreation,8/12/2017,76,458
Metro Police,3/17/2012,109,1518
Metro Police,7/5/2014,114,1554
Metro Police,7/16/2016,154,1566
Metro Police,7/30/2016,151,1565
Office of Performance Improvmt,10/1/2011,0,3
Office of Performance Improvmt,3/1/2014,1,8
Office of Performance Improvmt,1/3/2015,2,10
Office of Performance Improvmt,5/7/2016,0,11
OMB ,10/29/2011,47,178
OMB ,1/7/2012,53,177
OMB ,2/14/2015,45,181
Other Officials               ,11/26/2011,0,3
Other Officials               ,4/22/2017,0,3
Parking Authority of River Cty,7/7/2012,4,22
Parking Authority of River Cty,9/15/2012,5,22
Parking Authority of River Cty,5/9/2015,3,26
Parking Authority of River Cty,9/26/2015,2,26
Parking Authority of River Cty,2/27/2016,4,27
Parking Authority of River Cty,4/23/2016,4,29
Parking Authority of River Cty,5/20/2017,3,28
Public Health & Wellness,3/29/2014,61,230
Public Health & Wellness,5/9/2015,56,204
Public Health & Wellness,10/10/2015,53,202
Public Health & Wellness,12/31/2016,58,215
PW&A ,10/27/2012,161,436
PW&A ,10/26/2013,124,428
PW&A ,1/17/2015,114,439
PW&A ,2/28/2015,118,441
PW&A ,8/29/2015,122,453
PW&A ,8/12/2017,154,462
Waterfront Development Corp,11/12/2011,4,16
Waterfront Development Corp,12/10/2011,4,17
Waterfront Development Corp,11/22/2014,8,17
Waterfront Development Corp,5/23/2015,7,21
Waterfront Development Corp,3/11/2017,8,17
Waterfront Development Corp,8/26/2017,7,22
Youth Detention Services      ,8/4/2012,21,122
Youth Detention Services      ,2/2/2013,16,123
Youth Detention Services      ,8/3/2013,16,120
Youth Detention Services      ,9/24/2016,24,116
Youth Detention Services      ,11/5/2016,25,121
Youth Detention Services      ,12/3/2016,32,120
Youth Detention Services      ,2/25/2017,25,115
Zoo,1/21/2012,22,133
Zoo,10/13/2012,21,254
Zoo,5/25/2013,23,272
Zoo,12/7/2013,19,140
Zoo,8/15/2015,24,258
Zoo,3/12/2016,21,214
Zoo,10/8/2016,20,276
Belle of Louisville           ,10/29/2011,1,62
Belle of Louisville           ,8/30/2014,4,62
Belle of Louisville           ,8/15/2015,4,66
Belle of Louisville           ,11/21/2015,3,24
Belle of Louisville           ,6/4/2016,1,65
Belle of Louisville           ,10/8/2016,0,58
Codes & Regulations,4/14/2012,48,130
Codes & Regulations,7/7/2012,44,131
Codes & Regulations,1/4/2014,15,122
Commonwealth Attorney         ,3/30/2013,0,19
Commonwealth Attorney         ,4/12/2014,0,20
Commonwealth Attorney         ,11/8/2014,0,23
Commonwealth Attorney         ,7/16/2016,0,25
Commonwealth Attorney         ,7/30/2016,0,24
Commonwealth Attorney         ,2/11/2017,0,20
Commonwealth Attorney         ,4/8/2017,0,20
Community Services,4/14/2012,103,232
Community Services,5/26/2012,95,225
Community Services,7/7/2012,81,202
Community Services,1/4/2014,46,155
Community Services,7/15/2017,57,129
Coroner                       ,3/17/2012,0,20
Coroner                       ,4/9/2016,0,14
Coroner                       ,7/30/2016,0,14
Coroner                       ,12/31/2016,0,15
Coroner                       ,2/11/2017,0,15
Corrections                   ,3/31/2012,147,530
Corrections                   ,4/27/2013,127,527
Corrections                   ,1/18/2014,117,522
Corrections                   ,10/11/2014,135,537
Corrections                   ,12/20/2014,133,527
Corrections                   ,11/5/2016,152,531
Corrections                   ,1/28/2017,156,533
Corrections                   ,3/11/2017,163,527
County Attorney               ,7/21/2012,0,90
County Attorney               ,1/19/2013,0,90
County Attorney               ,2/15/2014,0,92
County Attorney               ,9/13/2014,0,92
County Attorney               ,1/16/2016,0,99
Dept of Information Technology,8/18/2012,16,58
Dept of Information Technology,3/30/2013,15,58
Dept of Information Technology,11/8/2014,17,51
Dept of Information Technology,7/16/2016,11,62
Develop Louisville,5/24/2014,26,111
Develop Louisville,6/4/2016,17,120
Econ Growth & Innovation ,2/18/2012,4,27
Econ Growth & Innovation ,12/22/2012,3,27
Econ Growth & Innovation ,1/5/2013,3,27
Econ Growth & Innovation ,2/16/2013,3,27
Econ Growth & Innovation ,8/17/2013,0,27
Econ Growth & Innovation ,12/7/2013,1,27
Econ Growth & Innovation ,7/19/2014,0,26
Econ Growth & Innovation ,6/18/2016,0,25
Econ Growth & Innovation ,9/24/2016,0,22
Econ Growth & Innovation-APCD,11/12/2011,21,65
Econ Growth & Innovation-APCD,11/24/2012,18,62
Econ Growth & Innovation-APCD,1/4/2014,19,60
Econ Growth & Innovation-APCD,2/13/2016,14,54
Econ Growth & Innovation-APCD,12/17/2016,13,51
Emergency Mgt Agency/MetroSafe,10/1/2011,38,189
Emergency Mgt Agency/MetroSafe,1/21/2012,35,186
Emergency Mgt Agency/MetroSafe,11/24/2012,39,191
Emergency Mgt Agency/MetroSafe,1/4/2014,37,188
Fire & Rescue                 ,2/18/2012,50,486
Fire & Rescue                 ,10/27/2012,66,469
Fire & Rescue                 ,6/22/2013,88,464
Fire & Rescue                 ,3/29/2014,60,491
Fire & Rescue                 ,9/10/2016,75,465
Fire & Rescue                 ,5/20/2017,60,496
Fleet & Facilities,10/1/2011,73,200
Fleet & Facilities,3/25/2017,70,191
Human Relations Commission    ,9/29/2012,4,18
Human Relations Commission    ,5/11/2013,2,15
Human Relations Commission    ,8/31/2013,1,16
Human Relations Commission    ,3/1/2014,1,16
Human Relations Commission    ,8/30/2014,2,22
Human Relations Commission    ,6/6/2015,1,20
Human Relations Commission    ,12/5/2015,2,18
Human Resources,5/12/2012,6,36
Human Resources,10/13/2012,4,37
Human Resources,3/15/2014,2,37
Human Resources,8/2/2014,3,34
Human Resources,8/30/2014,4,32
Human Resources,1/3/2015,1,32
Human Resources,6/6/2015,1,36
Human Resources,8/1/2015,1,35
Human Resources,8/15/2015,1,39
Human Resources,5/7/2016,7,38
Human Resources,10/8/2016,7,37
Internal Auditor              ,4/14/2012,1,8
Internal Auditor              ,7/7/2012,1,7
Internal Auditor              ,1/4/2014,0,5
Internal Auditor              ,4/26/2014,0,5
Internal Auditor              ,2/13/2016,1,6
Kentuckiana Works Foundation,7/5/2014,4,19
Kentuckiana Works Foundation,9/27/2014,4,18
Kentuckiana Works Foundation,3/14/2015,4,19
Kentuckiana Works Foundation,9/26/2015,1,20
Kentuckiana Works Foundation,10/24/2015,0,21
Kentuckiana Works Foundation,12/19/2015,0,21
Kentuckiana Works Foundation,5/21/2016,2,22
Library,5/26/2012,45,294
Library,6/23/2012,49,290
Library,8/18/2012,52,288
Library,8/27/2016,53,298
Library,7/15/2017,39,293
Louisville Metro Council      ,1/21/2012,8,90
Louisville Metro Council      ,3/17/2012,11,89
Louisville Metro Council      ,3/28/2015,13,81
Louisville Metro Council      ,3/12/2016,14,80
Louisville Metro Council      ,7/16/2016,15,85
Louisville Metro Council      ,7/30/2016,16,86
Louisville Metro Council      ,2/25/2017,8,78
Louisville Metro EMS,4/14/2012,24,238
Louisville Metro EMS,7/7/2012,28,236
Louisville Metro EMS,10/27/2012,37,232
Louisville Metro EMS,7/15/2017,37,221
Mayor's Office                ,3/30/2013,2,20
Mayor's Office                ,4/12/2014,1,21
Mayor's Office                ,5/24/2014,0,21
Belle of Louisville           ,10/1/2011,1,61
Belle of Louisville           ,11/12/2011,1,44
Belle of Louisville           ,10/13/2012,2,60
Belle of Louisville           ,3/16/2013,4,30
Belle of Louisville           ,1/3/2015,5,28
Belle of Louisville           ,2/13/2016,2,24
Belle of Louisville           ,3/12/2016,2,29
Codes & Regulations,10/1/2011,48,140
Codes & Regulations,12/24/2011,47,138
Codes & Regulations,3/16/2013,22,130
Codes & Regulations,1/3/2015,25,122
Codes & Regulations,1/30/2016,27,134
Codes & Regulations,2/13/2016,26,134
Codes & Regulations,7/29/2017,42,156
Commonwealth Attorney         ,2/18/2012,0,20
Commonwealth Attorney         ,11/10/2012,0,20
Commonwealth Attorney         ,12/22/2012,0,18
Commonwealth Attorney         ,8/17/2013,0,17
Commonwealth Attorney         ,8/16/2014,0,19
Commonwealth Attorney         ,12/19/2015,0,25
Commonwealth Attorney         ,4/23/2016,0,25
Commonwealth Attorney         ,5/21/2016,0,25
Commonwealth Attorney         ,6/3/2017,0,20
Community Services,10/1/2011,111,233
Community Services,1/3/2015,52,151
Community Services,1/17/2015,50,147
Community Services,1/30/2016,42,136
Community Services,7/29/2017,56,129
Coroner                       ,6/22/2013,0,19
Coroner                       ,4/12/2014,0,19
Coroner                       ,7/19/2014,0,19
Coroner                       ,4/8/2017,0,14
Coroner                       ,6/3/2017,0,14
Corrections                   ,8/4/2012,147,532
Corrections                   ,9/14/2013,106,533
Corrections                   ,11/23/2013,112,528
Corrections                   ,2/15/2014,121,541
Corrections                   ,5/23/2015,105,528
County Attorney               ,6/23/2012,1,93
County Attorney               ,6/7/2014,0,94
County Attorney               ,4/22/2017,0,102
Dept of Information Technology,6/23/2012,14,56
Dept of Information Technology,12/22/2012,13,60
Dept of Information Technology,3/14/2015,11,51
Dept of Information Technology,7/18/2015,9,53
Dept of Information Technology,10/24/2015,7,53
Dept of Information Technology,5/21/2016,10,61
Dept of Information Technology,9/24/2016,12,61
Develop Louisville,10/13/2012,24,92
Develop Louisville,4/13/2013,22,99
Develop Louisville,8/15/2015,23,119
Develop Louisville,4/9/2016,17,121
Develop Louisville,5/7/2016,15,119
Econ Growth & Innovation ,9/27/2014,0,26
Econ Growth & Innovation ,3/14/2015,1,27
Econ Growth & Innovation ,7/18/2015,0,29
Econ Growth & Innovation ,7/16/2016,0,25
Econ Growth & Innovation ,7/30/2016,0,25
Econ Growth & Innovation-APCD,10/1/2011,24,65
Econ Growth & Innovation-APCD,1/7/2012,23,66
Econ Growth & Innovation-APCD,1/3/2015,13,54
Econ Growth & Innovation-APCD,2/14/2015,14,57
Econ Growth & Innovation-APCD,3/28/2015,11,54
Emergency Mgt Agency/MetroSafe,5/12/2012,34,193
Emergency Mgt Agency/MetroSafe,12/21/2013,37,189
Emergency Mgt Agency/MetroSafe,4/26/2014,35,197
Emergency Mgt Agency/MetroSafe,3/12/2016,36,186
Fire & Rescue                 ,3/3/2012,48,486
Fire & Rescue                 ,7/6/2013,86,464
Fire & Rescue                 ,7/5/2014,67,491
Fire & Rescue                 ,1/31/2015,73,480
Fleet & Facilities,10/15/2011,73,198
Fleet & Facilities,10/29/2011,70,198
Fleet & Facilities,5/12/2012,84,197
Fleet & Facilities,3/15/2014,63,206
Fleet & Facilities,4/26/2014,62,206
Human Relations Commission    ,4/14/2012,3,19
Human Relations Commission    ,5/10/2014,1,20
Human Relations Commission    ,4/25/2015,1,21
Human Relations Commission    ,8/12/2017,4,20
Human Relations Commission    ,9/9/2017,4,20
Human Resources,10/15/2011,3,39
Human Resources,10/29/2011,3,34
Human Resources,11/24/2012,4,38
Human Resources,4/26/2014,2,39
Human Resources,6/4/2016,6,38
Human Resources,12/17/2016,4,39
Internal Auditor              ,10/1/2011,1,6
Internal Auditor              ,12/8/2012,1,7
Internal Auditor              ,1/3/2015,0,7
Internal Auditor              ,5/7/2016,1,7
Kentuckiana Works Foundation,9/28/2013,6,18
Kentuckiana Works Foundation,7/19/2014,4,18
Library,1/17/2015,36,283
Library,2/28/2015,37,289
Library,7/4/2015,35,294
Library,8/29/2015,36,282
Library,8/12/2017,43,294
Louisville Metro Council      ,11/24/2012,12,85
Louisville Metro Council      ,2/16/2013,10,86
Louisville Metro Council      ,5/24/2014,16,83
Louisville Metro Council      ,6/4/2016,15,82
Louisville Metro Council      ,9/24/2016,15,80
Louisville Metro Council      ,12/17/2016,14,79
Louisville Metro EMS,12/24/2011,32,243
Louisville Metro EMS,1/17/2015,15,244
Louisville Metro EMS,1/31/2015,15,246
Louisville Metro EMS,1/30/2016,26,254
Louisville Metro EMS,7/29/2017,42,222
Mayor's Office                ,9/28/2013,1,20
Mayor's Office                ,12/7/2013,2,21
Mayor's Office                ,8/16/2014,1,21
Mayor's Office                ,9/27/2014,1,21
Mayor's Office                ,6/18/2016,1,20
Metro Animal Services         ,12/5/2015,20,55
Metro Criminal Justice Comm   ,6/23/2012,2,4
Metro Criminal Justice Comm   ,1/5/2013,1,4
Metro Criminal Justice Comm   ,6/18/2016,0,4
Metro Criminal Justice Comm   ,9/24/2016,0,4
Metro Parks & Recreation,10/29/2011,92,378
Metro Parks & Recreation,11/24/2012,78,363
Belle of Louisville           ,3/2/2013,4,28
Belle of Louisville           ,3/30/2013,4,33
Belle of Louisville           ,7/2/2016,1,66
Belle of Louisville           ,7/1/2017,4,66
Codes & Regulations,3/30/2013,19,127
Codes & Regulations,4/12/2014,20,119
Codes & Regulations,8/16/2014,22,121
Codes & Regulations,12/19/2015,25,135
Codes & Regulations,4/8/2017,39,147
Commonwealth Attorney         ,10/1/2011,0,19
Commonwealth Attorney         ,12/8/2012,0,19
Commonwealth Attorney         ,2/2/2013,0,19
Commonwealth Attorney         ,1/30/2016,0,26
Commonwealth Attorney         ,8/12/2017,0,19
Community Services,2/18/2012,109,232
Community Services,12/22/2012,94,238
Community Services,11/8/2014,48,146
Community Services,9/26/2015,45,136
Community Services,5/21/2016,43,124
Community Services,8/13/2016,39,125
Community Services,2/11/2017,48,144
Community Services,5/20/2017,56,130
Coroner                       ,10/29/2011,1,20
Coroner                       ,9/29/2012,0,19
Coroner                       ,11/24/2012,0,19
Coroner                       ,2/14/2015,0,18
Coroner                       ,4/25/2015,0,18
Coroner                       ,8/27/2016,0,14
Coroner                       ,7/15/2017,0,16
Corrections                   ,2/18/2012,150,530
Corrections                   ,5/11/2013,128,528
Corrections                   ,6/8/2013,117,544
Corrections                   ,4/26/2014,122,537
Corrections                   ,8/30/2014,131,515
Corrections                   ,6/6/2015,111,528
County Attorney               ,5/26/2012,1,91
County Attorney               ,8/31/2013,0,93
County Attorney               ,9/14/2013,0,95
Dept of Information Technology,1/7/2012,12,57
Dept of Information Technology,3/29/2014,15,55
Dept of Information Technology,1/2/2016,10,56
Dept of Information Technology,10/22/2016,10,58
Dept of Information Technology,3/11/2017,9,62
Develop Louisville,3/3/2012,32,86
Develop Louisville,2/14/2015,14,115
Econ Growth & Innovation ,9/15/2012,6,29
Econ Growth & Innovation ,10/25/2014,0,26
Econ Growth & Innovation ,9/26/2015,0,26
Econ Growth & Innovation ,2/27/2016,0,24
Econ Growth & Innovation ,11/19/2016,0,21
Econ Growth & Innovation ,1/14/2017,0,22
Econ Growth & Innovation-APCD,4/13/2013,17,63
Econ Growth & Innovation-APCD,6/22/2013,17,64
Econ Growth & Innovation-APCD,8/17/2013,16,64
Econ Growth & Innovation-APCD,7/19/2014,16,54
Econ Growth & Innovation-APCD,3/26/2016,17,54
Emergency Mgt Agency/MetroSafe,9/28/2013,30,183
Emergency Mgt Agency/MetroSafe,3/29/2014,31,196
Fire & Rescue                 ,5/11/2013,90,464
Fire & Rescue                 ,2/1/2014,70,493
Fire & Rescue                 ,3/28/2015,78,479
Fire & Rescue                 ,12/5/2015,83,487
Fleet & Facilities,6/9/2012,82,197
Fleet & Facilities,9/1/2012,77,199
Fleet & Facilities,1/18/2014,70,204
Human Relations Commission    ,7/21/2012,4,19
Human Relations Commission    ,1/19/2013,3,16
Human Relations Commission    ,4/27/2013,3,16
Human Relations Commission    ,6/7/2014,1,21
Human Relations Commission    ,12/19/2015,2,18
Human Resources,6/21/2014,5,39
Human Resources,12/6/2014,1,32
Internal Auditor              ,4/27/2013,0,7
Internal Auditor              ,6/7/2014,0,6
Internal Auditor              ,7/2/2016,1,7
Kentuckiana Works Foundation,5/26/2012,5,17
Kentuckiana Works Foundation,9/15/2012,5,16
Kentuckiana Works Foundation,3/28/2015,2,18
Library,3/2/2013,58,297
Library,10/10/2015,39,282
Library,8/13/2016,53,298
Library,12/31/2016,56,299
Library,2/11/2017,45,293
Library,7/1/2017,44,295
Louisville Metro Council      ,10/11/2014,15,82
Louisville Metro EMS,2/18/2012,27,235
Louisville Metro EMS,5/24/2014,10,245
Louisville Metro EMS,11/8/2014,12,247
Louisville Metro EMS,10/24/2015,21,245
Louisville Metro EMS,5/21/2016,32,247
Louisville Metro EMS,2/11/2017,34,237
Mayor's Office                ,3/3/2012,1,25
Mayor's Office                ,6/8/2013,2,20
Mayor's Office                ,7/15/2017,1,19
Metro Animal Services         ,3/3/2012,16,43
Metro Animal Services         ,4/28/2012,17,49
Metro Animal Services         ,11/23/2013,16,49
Metro Animal Services         ,1/18/2014,15,51
Metro Animal Services         ,4/25/2015,20,59
Metro Animal Services         ,11/5/2016,16,60
Metro Animal Services         ,7/15/2017,24,61
Metro Criminal Justice Comm   ,9/15/2012,1,4
Metro Criminal Justice Comm   ,7/20/2013,1,4
Metro Criminal Justice Comm   ,9/14/2013,0,4
Metro Criminal Justice Comm   ,2/27/2016,0,5
Metro Criminal Justice Comm   ,1/14/2017,1,4
Metro Parks & Recreation,6/22/2013,83,473
Metro Parks & Recreation,8/17/2013,87,396
Metro Parks & Recreation,9/13/2014,82,381
Metro Police,3/3/2012,116,1520
Metro Police,12/21/2013,106,1502
Metro Police,4/25/2015,130,1558
Metro Police,8/1/2015,131,1575
Metro Police,7/15/2017,184,1616
Office of Performance Improvmt,6/21/2014,0,12
Office of Performance Improvmt,12/6/2014,2,11
Office of Performance Improvmt,6/18/2016,0,15
OMB ,10/10/2015,43,194
OMB ,8/13/2016,41,200
Other Officials               ,5/25/2013,0,3
Other Officials               ,1/4/2014,0,3
Other Officials               ,10/11/2014,0,3
Belle of Louisville           ,5/11/2013,4,59
Belle of Louisville           ,11/23/2013,5,35
Belle of Louisville           ,3/1/2014,3,26
Belle of Louisville           ,5/6/2017,4,62
Codes & Regulations,1/7/2012,51,137
Codes & Regulations,8/18/2012,39,132
Codes & Regulations,10/12/2013,15,122
Codes & Regulations,4/11/2015,23,120
Codes & Regulations,1/2/2016,27,131
Commonwealth Attorney         ,8/18/2012,0,20
Commonwealth Attorney         ,2/28/2015,0,23
Community Services,1/7/2012,109,232
Community Services,8/18/2012,88,208
Community Services,10/12/2013,84,228
Community Services,4/11/2015,46,146
Community Services,1/2/2016,44,136
Coroner                       ,4/28/2012,0,20
Coroner                       ,6/7/2014,0,19
Coroner                       ,11/8/2014,0,18
Coroner                       ,7/16/2016,0,14
Coroner                       ,11/5/2016,0,15
Coroner                       ,5/6/2017,0,14
Corrections                   ,5/12/2012,142,527
Corrections                   ,12/8/2012,143,539
Corrections                   ,12/21/2013,113,521
Corrections                   ,1/3/2015,130,527
Corrections                   ,12/31/2016,152,541
County Attorney               ,3/3/2012,1,92
County Attorney               ,3/16/2013,0,88
County Attorney               ,11/9/2013,0,94
County Attorney               ,2/27/2016,0,100
County Attorney               ,3/25/2017,0,103
County Attorney               ,7/29/2017,0,104
County Attorney               ,9/9/2017,0,105
Dept of Information Technology,4/14/2012,12,58
Dept of Information Technology,2/28/2015,13,52
Dept of Information Technology,7/30/2016,10,62
Dept of Information Technology,2/11/2017,9,63
Dept of Information Technology,7/15/2017,11,61
Develop Louisville,4/27/2013,21,95
Develop Louisville,6/20/2015,23,113
Develop Louisville,9/12/2015,19,116
Econ Growth & Innovation ,2/4/2012,4,28
Econ Growth & Innovation ,9/29/2012,6,29
Econ Growth & Innovation ,10/26/2013,0,27
Econ Growth & Innovation ,1/17/2015,0,27
Econ Growth & Innovation ,5/20/2017,0,24
Econ Growth & Innovation ,6/3/2017,0,24
Econ Growth & Innovation-APCD,8/4/2012,21,65
Econ Growth & Innovation-APCD,4/26/2014,17,58
Econ Growth & Innovation-APCD,5/10/2014,18,58
Econ Growth & Innovation-APCD,6/17/2017,15,51
Emergency Mgt Agency/MetroSafe,6/23/2012,34,195
Emergency Mgt Agency/MetroSafe,7/21/2012,31,195
Emergency Mgt Agency/MetroSafe,2/14/2015,33,194
Emergency Mgt Agency/MetroSafe,3/28/2015,35,194
Emergency Mgt Agency/MetroSafe,11/19/2016,35,181
Emergency Mgt Agency/MetroSafe,3/25/2017,36,181
Emergency Mgt Agency/MetroSafe,4/22/2017,42,179
Emergency Mgt Agency/MetroSafe,8/26/2017,40,185
Fire & Rescue                 ,12/22/2012,81,468
Fire & Rescue                 ,2/28/2015,77,480
Fire & Rescue                 ,11/19/2016,73,508
Fire & Rescue                 ,7/15/2017,60,497
Fire & Rescue                 ,8/26/2017,54,485
Fleet & Facilities,1/21/2012,76,197
Fleet & Facilities,6/23/2012,82,197
Fleet & Facilities,7/21/2012,82,201
Fleet & Facilities,2/14/2015,53,199
Fleet & Facilities,3/28/2015,57,200
Fleet & Facilities,11/19/2016,62,198
Fleet & Facilities,4/22/2017,67,192
Human Relations Commission    ,2/4/2012,3,20
Human Relations Commission    ,12/22/2012,3,16
Human Relations Commission    ,10/11/2014,3,21
Human Relations Commission    ,5/6/2017,4,18
Human Resources,12/21/2013,1,34
Human Resources,1/18/2014,2,36
Human Resources,12/20/2014,1,36
Human Resources,12/5/2015,3,37
Human Resources,3/26/2016,6,37
Human Resources,3/11/2017,4,37
Internal Auditor              ,5/10/2014,0,5
