SFY,All Funding Sources,AGE,Test Type,# of Tests
2009-2010,GFS,20,Blood Lead,0
2009-2010,GFS,20,Lead Test,0
2009-2010,GFS,20,Lead Referral,0
2009-2010,GFS,20,""VDRL, RPR, ART"",0
2009-2010,GFS,20,Gonorrhea,0
2009-2010,GFS,20,Pap Smear,0
2009-2010,GFS,20,Chlamydia,0
2009-2010,GFS,20,Pelvic Exam,
2009-2010,GFS,20,Ova/ Parasites,0
2009-2010,GFS,20,Total Cholesterol,0
2009-2010,GFS,UNKNOWN,Sickle Cell,0
2009-2010,GFS,UNKNOWN,Blood Lead,0
2009-2010,GFS,UNKNOWN,Lead Test,
2009-2010,GFS,UNKNOWN,Lead Referral,
2009-2010,GFS,UNKNOWN,""VDRL, RPR, ART"",0
2009-2010,GFS,UNKNOWN,Gonorrhea,0
2009-2010,GFS,UNKNOWN,Pap Smear,0
2009-2010,GFS,UNKNOWN,Chlamydia,0
2009-2010,GFS,UNKNOWN,Pelvic Exam,0
2009-2010,GFS,UNKNOWN,Ova/ Parasites,0
2009-2010,GFS,UNKNOWN,Total Cholesterol,0
2009-2010,IFS,0,Sickle Cell,
2009-2010,IFS,0,Blood Lead,2373
2009-2010,IFS,0,Lead Test,5873
2009-2010,IFS,0,Lead Referral,719
2009-2010,IFS,0,""VDRL, RPR, ART"",
2009-2010,IFS,0,Gonorrhea,
2009-2010,IFS,0,Pap Smear,
2009-2010,IFS,0,Chlamydia,
2009-2010,IFS,0,Pelvic Exam,
2009-2010,IFS,0,Ova/ Parasites,11
2009-2010,IFS,0,Total Cholesterol,181
2009-2010,IFS,1,Sickle Cell,133
2009-2010,IFS,1,Blood Lead,13146
2009-2010,IFS,1,Lead Test,42821
2009-2010,IFS,1,Lead Referral,6281
2009-2010,IFS,1,""VDRL, RPR, ART"",
2009-2010,IFS,1,Gonorrhea,
2009-2010,IFS,1,Pap Smear,
2009-2010,IFS,1,Chlamydia,31
2009-2010,IFS,1,Pelvic Exam,
2009-2010,IFS,1,Ova/ Parasites,51
2009-2010,IFS,1,Total Cholesterol,
2009-2010,IFS,2,Sickle Cell,60
2009-2010,IFS,2,Blood Lead,10483
2009-2010,IFS,2,Lead Test,32018
2009-2010,IFS,2,Lead Referral,4475
2009-2010,IFS,2,""VDRL, RPR, ART"",
2009-2010,IFS,2,Gonorrhea,0
2009-2010,IFS,2,Pap Smear,
2009-2010,IFS,2,Chlamydia,15
2009-2010,IFS,2,Pelvic Exam,
2009-2010,IFS,2,Ova/ Parasites,45
2009-2010,IFS,2,Total Cholesterol,222
2009-2010,IFS,3,Sickle Cell,40
2009-2010,IFS,3,Blood Lead,3443
2009-2010,IFS,3,Lead Test,11330
2009-2010,IFS,3,Lead Referral,1501
2009-2010,IFS,3,""VDRL, RPR, ART"",
2009-2010,IFS,3,Gonorrhea,
2009-2010,IFS,3,Pap Smear,
2009-2010,IFS,3,Chlamydia,
2009-2010,IFS,3,Pelvic Exam,
2009-2010,IFS,3,Ova/ Parasites,15
2009-2010,IFS,3,Total Cholesterol,220
2009-2010,IFS,4,Sickle Cell,42
2009-2010,IFS,4,Blood Lead,3620
2009-2010,IFS,4,Lead Test,10262
2009-2010,IFS,4,Lead Referral,1346
2009-2010,IFS,4,""VDRL, RPR, ART"",
2009-2010,IFS,4,Gonorrhea,
2009-2010,IFS,4,Pap Smear,
2009-2010,IFS,4,Chlamydia,
2009-2010,IFS,4,Pelvic Exam,
2009-2010,IFS,4,Ova/ Parasites,25
2009-2010,IFS,4,Total Cholesterol,321
2009-2010,IFS,5,Sickle Cell,20
2009-2010,IFS,5,Blood Lead,1462
2009-2010,IFS,5,Lead Test,4901
2009-2010,IFS,5,Lead Referral,735
2009-2010,IFS,5,""VDRL, RPR, ART"",
2009-2010,IFS,5,Gonorrhea,
2009-2010,IFS,5,Pap Smear,
2009-2010,IFS,5,Chlamydia,
2009-2010,IFS,5,Pelvic Exam,
2009-2010,IFS,5,Ova/ Parasites,21
2009-2010,IFS,5,Total Cholesterol,282
2009-2010,IFS,6,Sickle Cell,16
2009-2010,IFS,6,Blood Lead,520
2009-2010,IFS,6,Lead Test,1698
2009-2010,IFS,6,Lead Referral,230
2009-2010,IFS,6,""VDRL, RPR, ART"",
2009-2010,IFS,6,Gonorrhea,
2009-2010,IFS,6,Pap Smear,
2009-2010,IFS,6,Chlamydia,
2009-2010,IFS,6,Pelvic Exam,
2009-2010,IFS,6,Ova/ Parasites,
2009-2010,IFS,6,Total Cholesterol,273
2009-2010,IFS,7,Sickle Cell,
2009-2010,IFS,7,Blood Lead,212
2009-2010,IFS,7,Lead Test,720
2009-2010,IFS,7,Lead Referral,123
2009-2010,IFS,7,""VDRL, RPR, ART"",
2009-2010,IFS,7,Gonorrhea,0
2009-2010,IFS,7,Pap Smear,
2009-2010,IFS,7,Chlamydia,
2009-2010,IFS,7,Pelvic Exam,
2009-2010,IFS,7,Ova/ Parasites,
2009-2010,IFS,7,Total Cholesterol,254
2009-2010,IFS,8,Sickle Cell,
2009-2010,IFS,8,Blood Lead,155
2009-2010,IFS,8,Lead Test,536
2009-2010,IFS,8,Lead Referral,73
2009-2010,IFS,8,""VDRL, RPR, ART"",
2009-2010,IFS,8,Gonorrhea,
2009-2010,IFS,8,Pap Smear,
2009-2010,IFS,8,Chlamydia,
2009-2010,IFS,8,Pelvic Exam,
2009-2010,IFS,8,Ova/ Parasites,
2009-2010,IFS,8,Total Cholesterol,274
2009-2010,IFS,9,Sickle Cell,
2009-2010,IFS,9,Blood Lead,125
2009-2010,IFS,9,Lead Test,426
2009-2010,IFS,9,Lead Referral,52
2009-2010,IFS,9,""VDRL, RPR, ART"",
2009-2010,IFS,9,Gonorrhea,
2009-2010,IFS,9,Pap Smear,
2009-2010,IFS,9,Chlamydia,32
2009-2010,IFS,9,Pelvic Exam,
2009-2010,IFS,9,Ova/ Parasites,
2009-2010,IFS,9,Total Cholesterol,327
2009-2010,IFS,10,Sickle Cell,0
2009-2010,IFS,10,Blood Lead,121
2009-2010,IFS,10,Lead Test,366
2009-2010,IFS,10,Lead Referral,43
2009-2010,IFS,10,""VDRL, RPR, ART"",24
2009-2010,IFS,10,Gonorrhea,
2009-2010,IFS,10,Pap Smear,
2009-2010,IFS,10,Chlamydia,57
2009-2010,IFS,10,Pelvic Exam,
2009-2010,IFS,10,Ova/ Parasites,
2009-2010,IFS,10,Total Cholesterol,310
2009-2010,IFS,11,Sickle Cell,
2009-2010,IFS,11,Blood Lead,95
2009-2010,IFS,11,Lead Test,414
2009-2010,IFS,11,Lead Referral,66
2009-2010,IFS,11,""VDRL, RPR, ART"",31
2009-2010,IFS,11,Gonorrhea,
2009-2010,IFS,11,Pap Smear,38
2009-2010,IFS,11,Chlamydia,164
2009-2010,IFS,11,Pelvic Exam,
2009-2010,IFS,11,Ova/ Parasites,
2009-2010,IFS,11,Total Cholesterol,351
2009-2010,IFS,12,Sickle Cell,
2009-2010,IFS,12,Blood Lead,78
2009-2010,IFS,12,Lead Test,376
2009-2010,IFS,12,Lead Referral,34
2009-2010,IFS,12,""VDRL, RPR, ART"",31
2009-2010,IFS,12,Gonorrhea,61
2009-2010,IFS,12,Pap Smear,
2009-2010,IFS,12,Chlamydia,239
2009-2010,IFS,12,Pelvic Exam,27
2009-2010,IFS,12,Ova/ Parasites,
2009-2010,IFS,12,Total Cholesterol,349
2009-2010,IFS,13,Sickle Cell,
2009-2010,IFS,13,Blood Lead,62
2009-2010,IFS,13,Lead Test,320
2009-2010,IFS,13,Lead Referral,25
2009-2010,IFS,13,""VDRL, RPR, ART"",45
2009-2010,IFS,13,Gonorrhea,149
2009-2010,IFS,13,Pap Smear,
2009-2010,IFS,13,Chlamydia,336
2009-2010,IFS,13,Pelvic Exam,39
2009-2010,IFS,13,Ova/ Parasites,
2009-2010,IFS,13,Total Cholesterol,328
2009-2010,IFS,14,Sickle Cell,
2009-2010,IFS,14,Blood Lead,68
2009-2010,IFS,14,Lead Test,360
2009-2010,IFS,14,Lead Referral,41
2009-2010,IFS,14,""VDRL, RPR, ART"",107
2009-2010,IFS,14,Gonorrhea,232
2009-2010,IFS,14,Pap Smear,
2009-2010,IFS,14,Chlamydia,470
2009-2010,IFS,14,Pelvic Exam,44
2009-2010,IFS,14,Ova/ Parasites,
2009-2010,IFS,14,Total Cholesterol,335
2009-2010,IFS,15,Sickle Cell,12
2009-2010,IFS,15,Blood Lead,71
2009-2010,IFS,15,Lead Test,337
2009-2010,IFS,15,Lead Referral,20
2009-2010,IFS,15,""VDRL, RPR, ART"",134
2009-2010,IFS,15,Gonorrhea,369
2009-2010,IFS,15,Pap Smear,60
2009-2010,IFS,15,Chlamydia,767
2009-2010,IFS,15,Pelvic Exam,50
2009-2010,IFS,15,Ova/ Parasites,
2009-2010,IFS,15,Total Cholesterol,331
2009-2010,IFS,16,Sickle Cell,
2009-2010,IFS,16,Blood Lead,62
2009-2010,IFS,16,Lead Test,340
2009-2010,IFS,16,Lead Referral,20
2009-2010,IFS,16,""VDRL, RPR, ART"",213
2009-2010,IFS,16,Gonorrhea,513
2009-2010,IFS,16,Pap Smear,77
2009-2010,IFS,16,Chlamydia,920
2009-2010,IFS,16,Pelvic Exam,58
2009-2010,IFS,16,Ova/ Parasites,
2009-2010,IFS,16,Total Cholesterol,330
2009-2010,IFS,17,Sickle Cell,
2009-2010,IFS,17,Blood Lead,52
2009-2010,IFS,17,Lead Test,271
2009-2010,IFS,17,Lead Referral,28
2009-2010,IFS,17,""VDRL, RPR, ART"",248
2009-2010,IFS,17,Gonorrhea,560
2009-2010,IFS,17,Pap Smear,101
2009-2010,IFS,17,Chlamydia,898
2009-2010,IFS,17,Pelvic Exam,65
2009-2010,IFS,17,Ova/ Parasites,
2009-2010,IFS,17,Total Cholesterol,260
2009-2010,IFS,18,Sickle Cell,
2009-2010,IFS,18,Blood Lead,22
2009-2010,IFS,18,Lead Test,151
2009-2010,IFS,18,Lead Referral,
2009-2010,IFS,18,""VDRL, RPR, ART"",152
2009-2010,IFS,18,Gonorrhea,363
2009-2010,IFS,18,Pap Smear,95
2009-2010,IFS,18,Chlamydia,578
2009-2010,IFS,18,Pelvic Exam,49
2009-2010,IFS,18,Ova/ Parasites,
2009-2010,IFS,18,Total Cholesterol,160
2009-2010,IFS,19,Sickle Cell,0
2009-2010,IFS,19,Blood Lead,
2009-2010,IFS,19,Lead Test,
2009-2010,IFS,19,Lead Referral,
2009-2010,IFS,19,""VDRL, RPR, ART"",67
2009-2010,IFS,19,Gonorrhea,165
2009-2010,IFS,19,Pap Smear,86
2009-2010,IFS,19,Chlamydia,293
2009-2010,IFS,19,Pelvic Exam,49
2009-2010,IFS,19,Ova/ Parasites,
2009-2010,IFS,19,Total Cholesterol,
2009-2010,IFS,20,Sickle Cell,0
2009-2010,IFS,20,Blood Lead,
2009-2010,IFS,20,Lead Test,231
2009-2010,IFS,20,Lead Referral,17
2009-2010,IFS,20,""VDRL, RPR, ART"",
2009-2010,IFS,20,Gonorrhea,110
2009-2010,IFS,20,Pap Smear,
2009-2010,IFS,20,Chlamydia,174
2009-2010,IFS,20,Pelvic Exam,33
2009-2010,IFS,20,Ova/ Parasites,0
2009-2010,IFS,20,Total Cholesterol,
2009-2010,IFS,UNKNOWN,Sickle Cell,0
2009-2010,IFS,UNKNOWN,Blood Lead,
2009-2010,IFS,UNKNOWN,Lead Test,
2009-2010,IFS,UNKNOWN,Lead Referral,
2009-2010,IFS,UNKNOWN,""VDRL, RPR, ART"",
2009-2010,IFS,UNKNOWN,Gonorrhea,
2009-2010,IFS,UNKNOWN,Pap Smear,0
2009-2010,IFS,UNKNOWN,Chlamydia,
2009-2010,IFS,UNKNOWN,Pelvic Exam,
2009-2010,IFS,UNKNOWN,Ova/ Parasites,0
2009-2010,IFS,UNKNOWN,Total Cholesterol,
2009-2010,SFS,0,Sickle Cell,
2009-2010,SFS,0,Blood Lead,
2009-2010,SFS,0,Lead Test,
2009-2010,SFS,0,Lead Referral,
2009-2010,SFS,0,""VDRL, RPR, ART"",0
2009-2010,SFS,0,Gonorrhea,0
2009-2010,SFS,0,Pap Smear,0
2009-2010,SFS,0,Chlamydia,0
2009-2010,SFS,0,Pelvic Exam,0
2009-2010,SFS,0,Ova/ Parasites,0
2009-2010,SFS,0,Total Cholesterol,0
2009-2010,SFS,1,Sickle Cell,0
2009-2010,SFS,1,Blood Lead,59
2009-2010,SFS,1,Lead Test,129
2009-2010,SFS,1,Lead Referral,
2009-2010,SFS,1,""VDRL, RPR, ART"",0
2009-2010,SFS,1,Gonorrhea,0
2009-2010,SFS,1,Pap Smear,0
2009-2010,SFS,1,Chlamydia,0
2009-2010,SFS,1,Pelvic Exam,0
2009-2010,SFS,1,Ova/ Parasites,0
2009-2010,SFS,1,Total Cholesterol,0
2009-2010,SFS,2,Sickle Cell,0
2009-2010,SFS,2,Blood Lead,70
2009-2010,SFS,2,Lead Test,141
2009-2010,SFS,2,Lead Referral,13
2009-2010,SFS,2,""VDRL, RPR, ART"",0
2009-2010,SFS,2,Gonorrhea,0
2009-2010,SFS,2,Pap Smear,0
2009-2010,SFS,2,Chlamydia,0
2009-2010,SFS,2,Pelvic Exam,0
2009-2010,SFS,2,Ova/ Parasites,
2009-2010,SFS,2,Total Cholesterol,
2009-2010,SFS,3,Sickle Cell,0
2009-2010,SFS,3,Blood Lead,75
2009-2010,SFS,3,Lead Test,136
2009-2010,SFS,3,Lead Referral,
2009-2010,SFS,3,""VDRL, RPR, ART"",0
2009-2010,SFS,3,Gonorrhea,0
2009-2010,SFS,3,Pap Smear,0
2009-2010,SFS,3,Chlamydia,0
2009-2010,SFS,3,Pelvic Exam,0
2009-2010,SFS,3,Ova/ Parasites,0
2009-2010,SFS,3,Total Cholesterol,0
2009-2010,SFS,4,Sickle Cell,0
2009-2010,SFS,4,Blood Lead,123
2009-2010,SFS,4,Lead Test,215
2009-2010,SFS,4,Lead Referral,12
2009-2010,SFS,4,""VDRL, RPR, ART"",
2009-2010,SFS,4,Gonorrhea,0
2009-2010,SFS,4,Pap Smear,0
2009-2010,SFS,4,Chlamydia,0
2009-2010,SFS,4,Pelvic Exam,0
2009-2010,SFS,4,Ova/ Parasites,
2009-2010,SFS,4,Total Cholesterol,
2009-2010,SFS,5,Sickle Cell,
2009-2010,SFS,5,Blood Lead,68
2009-2010,SFS,5,Lead Test,147
2009-2010,SFS,5,Lead Referral,
2009-2010,SFS,5,""VDRL, RPR, ART"",0
2009-2010,SFS,5,Gonorrhea,0
2009-2010,SFS,5,Pap Smear,0
2009-2010,SFS,5,Chlamydia,
2009-2010,SFS,5,Pelvic Exam,0
2009-2010,SFS,5,Ova/ Parasites,0
2009-2010,SFS,5,Total Cholesterol,
2009-2010,SFS,6,Sickle Cell,
2009-2010,SFS,6,Blood Lead,21
2009-2010,SFS,6,Lead Test,56
2009-2010,SFS,6,Lead Referral,
2009-2010,SFS,6,""VDRL, RPR, ART"",0
2009-2010,SFS,6,Gonorrhea,0
2009-2010,SFS,6,Pap Smear,0
2009-2010,SFS,6,Chlamydia,0
2009-2010,SFS,6,Pelvic Exam,0
2009-2010,SFS,6,Ova/ Parasites,0
2009-2010,SFS,6,Total Cholesterol,
2009-2010,SFS,7,Sickle Cell,
2009-2010,SFS,7,Blood Lead,11
2009-2010,SFS,7,Lead Test,39
2009-2010,SFS,7,Lead Referral,
2009-2010,SFS,7,""VDRL, RPR, ART"",0
2009-2010,SFS,7,Gonorrhea,0
2009-2010,SFS,7,Pap Smear,0
2009-2010,SFS,7,Chlamydia,0
2009-2010,SFS,7,Pelvic Exam,0
2009-2010,SFS,7,Ova/ Parasites,
2009-2010,SFS,7,Total Cholesterol,21
2009-2010,SFS,8,Sickle Cell,
2009-2010,SFS,8,Blood Lead,14
2009-2010,SFS,8,Lead Test,28
2009-2010,SFS,8,Lead Referral,
2009-2010,SFS,8,""VDRL, RPR, ART"",0
2009-2010,SFS,8,Gonorrhea,
2009-2010,SFS,8,Pap Smear,0
2009-2010,SFS,8,Chlamydia,
2009-2010,SFS,8,Pelvic Exam,0
2009-2010,SFS,8,Ova/ Parasites,0
2009-2010,SFS,8,Total Cholesterol,23
2009-2010,SFS,9,Sickle Cell,
2009-2010,SFS,9,Blood Lead,
2009-2010,SFS,9,Lead Test,32
2009-2010,SFS,9,Lead Referral,
2009-2010,SFS,9,""VDRL, RPR, ART"",
2009-2010,SFS,9,Gonorrhea,0
2009-2010,SFS,9,Pap Smear,0
2009-2010,SFS,9,Chlamydia,
2009-2010,SFS,9,Pelvic Exam,0
2009-2010,SFS,9,Ova/ Parasites,
2009-2010,SFS,9,Total Cholesterol,40
2009-2010,SFS,10,Sickle Cell,
2009-2010,SFS,10,Blood Lead,
2009-2010,SFS,10,Lead Test,40
2009-2010,SFS,10,Lead Referral,
2009-2010,SFS,10,""VDRL, RPR, ART"",
2009-2010,SFS,10,Gonorrhea,
2009-2010,SFS,10,Pap Smear,0
2009-2010,SFS,10,Chlamydia,
2009-2010,SFS,10,Pelvic Exam,0
2009-2010,SFS,10,Ova/ Parasites,
2009-2010,SFS,10,Total Cholesterol,43
2009-2010,SFS,11,Sickle Cell,
2009-2010,SFS,11,Blood Lead,11
2009-2010,SFS,11,Lead Test,35
2009-2010,SFS,11,Lead Referral,
2009-2010,SFS,11,""VDRL, RPR, ART"",0
2009-2010,SFS,11,Gonorrhea,
2009-2010,SFS,11,Pap Smear,0
2009-2010,SFS,11,Chlamydia,
2009-2010,SFS,11,Pelvic Exam,0
2009-2010,SFS,11,Ova/ Parasites,0
2009-2010,SFS,11,Total Cholesterol,61
2009-2010,SFS,12,Sickle Cell,
2009-2010,SFS,12,Blood Lead,
2009-2010,SFS,12,Lead Test,28
2009-2010,SFS,12,Lead Referral,
2009-2010,SFS,12,""VDRL, RPR, ART"",0
2009-2010,SFS,12,Gonorrhea,
2009-2010,SFS,12,Pap Smear,0
2009-2010,SFS,12,Chlamydia,
2009-2010,SFS,12,Pelvic Exam,0
2009-2010,SFS,12,Ova/ Parasites,
2009-2010,SFS,12,Total Cholesterol,46
2009-2010,SFS,13,Sickle Cell,
2009-2010,SFS,13,Blood Lead,
2009-2010,SFS,13,Lead Test,31
2009-2010,SFS,13,Lead Referral,
2009-2010,SFS,13,""VDRL, RPR, ART"",
2009-2010,SFS,13,Gonorrhea,19
2009-2010,SFS,13,Pap Smear,
2009-2010,SFS,13,Chlamydia,19
2009-2010,SFS,13,Pelvic Exam,0
2009-2010,SFS,13,Ova/ Parasites,
2009-2010,SFS,13,Total Cholesterol,47
2009-2010,SFS,14,Sickle Cell,
2009-2010,SFS,14,Blood Lead,11
2009-2010,SFS,14,Lead Test,37
2009-2010,SFS,14,Lead Referral,
2009-2010,SFS,14,""VDRL, RPR, ART"",15
2009-2010,SFS,14,Gonorrhea,31
2009-2010,SFS,14,Pap Smear,0
2009-2010,SFS,14,Chlamydia,33
2009-2010,SFS,14,Pelvic Exam,
2009-2010,SFS,14,Ova/ Parasites,0
2009-2010,SFS,14,Total Cholesterol,55
2009-2010,SFS,15,Sickle Cell,
2009-2010,SFS,15,Blood Lead,
2009-2010,SFS,15,Lead Test,37
2009-2010,SFS,15,Lead Referral,
2009-2010,SFS,15,""VDRL, RPR, ART"",26
2009-2010,SFS,15,Gonorrhea,44
2009-2010,SFS,15,Pap Smear,0
2009-2010,SFS,15,Chlamydia,49
2009-2010,SFS,15,Pelvic Exam,0
2009-2010,SFS,15,Ova/ Parasites,
2009-2010,SFS,15,Total Cholesterol,53
2009-2010,SFS,16,Sickle Cell,
2009-2010,SFS,16,Blood Lead,
2009-2010,SFS,16,Lead Test,34
2009-2010,SFS,16,Lead Referral,
2009-2010,SFS,16,""VDRL, RPR, ART"",26
2009-2010,SFS,16,Gonorrhea,55
2009-2010,SFS,16,Pap Smear,
2009-2010,SFS,16,Chlamydia,63
2009-2010,SFS,16,Pelvic Exam,0
2009-2010,SFS,16,Ova/ Parasites,
2009-2010,SFS,16,Total Cholesterol,41
2009-2010,SFS,17,Sickle Cell,0
2009-2010,SFS,17,Blood Lead,
2009-2010,SFS,17,Lead Test,30
2009-2010,SFS,17,Lead Referral,
2009-2010,SFS,17,""VDRL, RPR, ART"",56
2009-2010,SFS,17,Gonorrhea,60
2009-2010,SFS,17,Pap Smear,
2009-2010,SFS,17,Chlamydia,62
2009-2010,SFS,17,Pelvic Exam,
2009-2010,SFS,17,Ova/ Parasites,
2009-2010,SFS,17,Total Cholesterol,34
2009-2010,SFS,18,Sickle Cell,
2009-2010,SFS,18,Blood Lead,
2009-2010,SFS,18,Lead Test,
2009-2010,SFS,18,Lead Referral,
2009-2010,SFS,18,""VDRL, RPR, ART"",58
2009-2010,SFS,18,Gonorrhea,65
2009-2010,SFS,18,Pap Smear,
2009-2010,SFS,18,Chlamydia,68
2009-2010,SFS,18,Pelvic Exam,
2009-2010,SFS,18,Ova/ Parasites,0
2009-2010,SFS,18,Total Cholesterol,24
2009-2010,SFS,19,Sickle Cell,0
2009-2010,SFS,19,Blood Lead,0
2009-2010,SFS,19,Lead Test,0
2009-2010,SFS,19,Lead Referral,0
2009-2010,SFS,19,""VDRL, RPR, ART"",0
2009-2010,SFS,19,Gonorrhea,0
2009-2010,SFS,19,Pap Smear,0
2009-2010,SFS,19,Chlamydia,0
2009-2010,SFS,19,Pelvic Exam,0
2009-2010,SFS,19,Ova/ Parasites,0
2009-2010,SFS,19,Total Cholesterol,0
2009-2010,SFS,20,Sickle Cell,0
2009-2010,SFS,20,Blood Lead,0
2009-2010,SFS,20,Lead Test,0
2009-2010,SFS,20,Lead Referral,0
2009-2010,SFS,20,""VDRL, RPR, ART"",0
2009-2010,SFS,20,Gonorrhea,0
2009-2010,SFS,20,Pap Smear,0
2009-2010,SFS,20,Chlamydia,0
2009-2010,SFS,20,Pelvic Exam,0
2009-2010,SFS,20,Ova/ Parasites,0
2009-2010,SFS,20,Total Cholesterol,0
2009-2010,SFS,UNKNOWN,Sickle Cell,0
2009-2010,SFS,UNKNOWN,Blood Lead,0
2009-2010,SFS,UNKNOWN,Lead Test,0
2009-2010,SFS,UNKNOWN,Lead Referral,0
2009-2010,SFS,UNKNOWN,""VDRL, RPR, ART"",0
2009-2010,SFS,UNKNOWN,Gonorrhea,0
2009-2010,SFS,UNKNOWN,Pap Smear,0
2009-2010,SFS,UNKNOWN,Chlamydia,0
2009-2010,SFS,UNKNOWN,Pelvic Exam,0
2009-2010,SFS,UNKNOWN,Ova/ Parasites,0
2009-2010,SFS,UNKNOWN,Total Cholesterol,0
2010-2011,All,0,Sickle Cell,23
2010-2011,All,0,Blood Lead,3546
2010-2011,All,0,Lead Test,4500
2010-2011,All,0,Lead Referral,883
2010-2011,All,0,""VDRL, RPR, ART"",
2010-2011,All,0,Gonorrhea,
2010-2011,All,0,Pap Smear,
2010-2011,All,0,Chlamydia,30
2010-2011,All,0,Pelvic Exam,
2010-2011,All,0,Ova/ Parasites,11
2010-2011,All,0,Total Cholesterol,245
2010-2011,All,1,Sickle Cell,225
2010-2011,All,1,Blood Lead,24908
2010-2011,All,1,Lead Test,51708
2010-2011,All,1,Lead Referral,8756
2010-2011,All,1,""VDRL, RPR, ART"",20
2010-2011,All,1,Gonorrhea,
2010-2011,All,1,Pap Smear,
2010-2011,All,1,Chlamydia,25
2010-2011,All,1,Pelvic Exam,13
2010-2011,All,1,Ova/ Parasites,70
2010-2011,All,1,Total Cholesterol,334
2010-2011,All,2,Sickle Cell,123
2010-2011,All,2,Blood Lead,20135
2010-2011,All,2,Lead Test,40131
2010-2011,All,2,Lead Referral,6311
2010-2011,All,2,""VDRL, RPR, ART"",
2010-2011,All,2,Gonorrhea,
2010-2011,All,2,Pap Smear,
2010-2011,All,2,Chlamydia,12
2010-2011,All,2,Pelvic Exam,
2010-2011,All,2,Ova/ Parasites,56
2010-2011,All,2,Total Cholesterol,227
2010-2011,All,3,Sickle Cell,73
2010-2011,All,3,Blood Lead,7378
2010-2011,All,3,Lead Test,15459
2010-2011,All,3,Lead Referral,2477
2010-2011,All,3,""VDRL, RPR, ART"",
2010-2011,All,3,Gonorrhea,
2010-2011,All,3,Pap Smear,
2010-2011,All,3,Chlamydia,14
2010-2011,All,3,Pelvic Exam,
2010-2011,All,3,Ova/ Parasites,36
2010-2011,All,3,Total Cholesterol,290
2010-2011,All,4,Sickle Cell,97
2010-2011,All,4,Blood Lead,7585
2010-2011,All,4,Lead Test,15087
2010-2011,All,4,Lead Referral,2165
2010-2011,All,4,""VDRL, RPR, ART"",
2010-2011,All,4,Gonorrhea,
2010-2011,All,4,Pap Smear,
2010-2011,All,4,Chlamydia,16
2010-2011,All,4,Pelvic Exam,
2010-2011,All,4,Ova/ Parasites,50
2010-2011,All,4,Total Cholesterol,462
2010-2011,All,5,Sickle Cell,55
2010-2011,All,5,Blood Lead,3817
2010-2011,All,5,Lead Test,7850
2010-2011,All,5,Lead Referral,1096
2010-2011,All,5,""VDRL, RPR, ART"",
2010-2011,All,5,Gonorrhea,0
2010-2011,All,5,Pap Smear,
2010-2011,All,5,Chlamydia,
2010-2011,All,5,Pelvic Exam,
2010-2011,All,5,Ova/ Parasites,29
2010-2011,All,5,Total Cholesterol,431
2010-2011,All,6,Sickle Cell,35
2010-2011,All,6,Blood Lead,1149
2010-2011,All,6,Lead Test,2578
2010-2011,All,6,Lead Referral,357
2010-2011,All,6,""VDRL, RPR, ART"",
2010-2011,All,6,Gonorrhea,
2010-2011,All,6,Pap Smear,
2010-2011,All,6,Chlamydia,
2010-2011,All,6,Pelvic Exam,
2010-2011,All,6,Ova/ Parasites,13
2010-2011,All,6,Total Cholesterol,451
2010-2011,All,7,Sickle Cell,36
2010-2011,All,7,Blood Lead,473
2010-2011,All,7,Lead Test,1035
2010-2011,All,7,Lead Referral,151
2010-2011,All,7,""VDRL, RPR, ART"",
2010-2011,All,7,Gonorrhea,
2010-2011,All,7,Pap Smear,
2010-2011,All,7,Chlamydia,
2010-2011,All,7,Pelvic Exam,
2010-2011,All,7,Ova/ Parasites,
2010-2011,All,7,Total Cholesterol,498
2010-2011,All,8,Sickle Cell,34
2010-2011,All,8,Blood Lead,352
2010-2011,All,8,Lead Test,858
2010-2011,All,8,Lead Referral,79
2010-2011,All,8,""VDRL, RPR, ART"",
2010-2011,All,8,Gonorrhea,
2010-2011,All,8,Pap Smear,0
2010-2011,All,8,Chlamydia,
2010-2011,All,8,Pelvic Exam,0
2010-2011,All,8,Ova/ Parasites,16
2010-2011,All,8,Total Cholesterol,535
2010-2011,All,9,Sickle Cell,20
2010-2011,All,9,Blood Lead,328
2010-2011,All,9,Lead Test,617
2010-2011,All,9,Lead Referral,85
2010-2011,All,9,""VDRL, RPR, ART"",21
2010-2011,All,9,Gonorrhea,
2010-2011,All,9,Pap Smear,0
2010-2011,All,9,Chlamydia,23
2010-2011,All,9,Pelvic Exam,0
2010-2011,All,9,Ova/ Parasites,
2010-2011,All,9,Total Cholesterol,627
2010-2011,All,10,Sickle Cell,29
2010-2011,All,10,Blood Lead,299
2010-2011,All,10,Lead Test,604
2010-2011,All,10,Lead Referral,96
2010-2011,All,10,""VDRL, RPR, ART"",38
2010-2011,All,10,Gonorrhea,
2010-2011,All,10,Pap Smear,
2010-2011,All,10,Chlamydia,43
2010-2011,All,10,Pelvic Exam,
2010-2011,All,10,Ova/ Parasites,12
2010-2011,All,10,Total Cholesterol,757
2010-2011,All,11,Sickle Cell,27
2010-2011,All,11,Blood Lead,300
2010-2011,All,11,Lead Test,658
2010-2011,All,11,Lead Referral,87
2010-2011,All,11,""VDRL, RPR, ART"",61
2010-2011,All,11,Gonorrhea,25
2010-2011,All,11,Pap Smear,34
2010-2011,All,11,Chlamydia,200
2010-2011,All,11,Pelvic Exam,35
