IntakeType,IntakeSubtype,Number of Animals,YEAR,MONTH
DISPOSAL,STRAY,7,2014,4
ET REQUEST,AGGRESSIVE,2,2014,4
ET REQUEST,OLD,1,2014,4
ET REQUEST,SICK,2,2014,4
FOSTER,,1,2014,4
FOSTER,RETURN,51,2014,4
OWNER SUR,,11,2014,4
OWNER SUR,EUTH REQ,44,2014,4
OWNER SUR,FIELD,23,2014,4
OWNER SUR,OTC,101,2014,4
RETURN,ADOPTION,17,2014,4
RETURN,K HUMANE S,2,2014,4
STRAY,FIELD,214,2014,4
STRAY,OTC,173,2014,4
CONFISCATE,,1,2014,5
CONFISCATE,BITE,1,2014,5
CONFISCATE,CRUELTY,1,2014,5
CONFISCATE,NEGLECT,2,2014,5
CONFISCATE,POLICE,3,2014,5
DISPOSAL,FIELD,1,2014,5
DISPOSAL,OTHER,1,2014,5
DISPOSAL,OWNER,7,2014,5
DISPOSAL,STRAY,3,2014,5
DISPOSAL,WILDLIFE,1,2014,5
ET REQUEST,AGGRESSIVE,1,2014,5
ET REQUEST,SICK,2,2014,5
FOSTER,RETURN,81,2014,5
OWNER SUR,EUTH REQ,42,2014,5
OWNER SUR,FIELD,114,2014,5
OWNER SUR,OTC,144,2014,5
OWNER SUR,RETURN 30,1,2014,5
RETURN,ADOPTION,17,2014,5
STRAY,FIELD,237,2014,5
STRAY,OTC,207,2014,5
CONFISCATE,ABANDONED,8,2014,6
CONFISCATE,CRUELTY,16,2014,6
CONFISCATE,NEGLECT,11,2014,6
CONFISCATE,OWNER DIED,2,2014,6
CONFISCATE,POLICE,3,2014,6
DISPOSAL,FIELD,1,2014,6
DISPOSAL,OTHER,1,2014,6
DISPOSAL,OWNER,17,2014,6
DISPOSAL,STRAY,1,2014,6
DISPOSAL,WILDLIFE,1,2014,6
ET REQUEST,AGGRESSIVE,1,2014,6
ET REQUEST,OLD,1,2014,6
ET REQUEST,SICK,1,2014,6
FOSTER,RETURN,64,2014,6
OWNER SUR,EUTH REQ,43,2014,6
OWNER SUR,FIELD,56,2014,6
OWNER SUR,OTC,183,2014,6
OWNER SUR,RETURN 30,1,2014,6
RETURN,,21,2014,6
RETURN,ADOPTION,9,2014,6
RETURN,K HUMANE S,2,2014,6
STRAY,FIELD,235,2014,6
STRAY,OTC,291,2014,6
CONFISCATE,ABANDONED,4,2014,7
CONFISCATE,BITE,1,2014,7
CONFISCATE,CRUELTY,6,2014,7
CONFISCATE,DANGER DOG,1,2014,7
CONFISCATE,EVICTION,1,2014,7
CONFISCATE,NEGLECT,3,2014,7
CONFISCATE,POLICE,1,2014,7
CONFISCATE,RESTRAINT,4,2014,7
DISPOSAL,OWNER,18,2014,7
DISPOSAL,STRAY,2,2014,7
DISPOSAL,WILDLIFE,1,2014,7
ET REQUEST,,2,2014,7
ET REQUEST,AGGRESSIVE,3,2014,7
ET REQUEST,SICK,3,2014,7
FOSTER,RETURN,95,2014,7
OWNER SUR,EUTH REQ,58,2014,7
OWNER SUR,FIELD,63,2014,7
OWNER SUR,OTC,139,2014,7
OWNER SUR,RETURN 30,3,2014,7
RETURN,,2,2014,7
RETURN,ADOPTION,18,2014,7
RETURN,K HUMANE S,3,2014,7
STRAY,FIELD,329,2014,7
STRAY,OTC,267,2014,7
CONFISCATE,ABANDONED,1,2014,8
CONFISCATE,BITE,4,2014,8
CONFISCATE,CHAINING,1,2014,8
CONFISCATE,NEGLECT,1,2014,8
CONFISCATE,POLICE,2,2014,8
DISPOSAL,FIELD,1,2014,8
DISPOSAL,OTHER,5,2014,8
DISPOSAL,OWNER,14,2014,8
DISPOSAL,STRAY,8,2014,8
ET REQUEST,AGGRESSIVE,3,2014,8
ET REQUEST,OLD,1,2014,8
ET REQUEST,SICK,1,2014,8
FOSTER,RETURN,74,2014,8
OWNER SUR,,3,2014,8
OWNER SUR,EUTH REQ,51,2014,8
OWNER SUR,FIELD,17,2014,8
OWNER SUR,OTC,120,2014,8
OWNER SUR,RETURN 30,6,2014,8
RETURN,,1,2014,8
RETURN,ADOPTION,3,2014,8
RETURN,K HUMANE S,3,2014,8
STRAY,FIELD,313,2014,8
STRAY,OTC,269,2014,8
CONFISCATE,ABANDONED,5,2014,9
CONFISCATE,BITE,2,2014,9
CONFISCATE,EVICTION,7,2014,9
CONFISCATE,NEGLECT,7,2014,9
CONFISCATE,RESTRAINT,3,2014,9
DISPOSAL,FIELD,1,2014,9
DISPOSAL,OWNER,15,2014,9
DISPOSAL,STRAY,2,2014,9
ET REQUEST,OLD,2,2014,9
ET REQUEST,SICK,1,2014,9
FOSTER,RETURN,73,2014,9
OWNER SUR,EUTH REQ,46,2014,9
OWNER SUR,FIELD,12,2014,9
OWNER SUR,OTC,153,2014,9
OWNER SUR,RETURN 30,8,2014,9
RETURN,,5,2014,9
RETURN,ADOPTION,4,2014,9
RETURN,K HUMANE S,6,2014,9
STRAY,FIELD,274,2014,9
STRAY,OTC,280,2014,9
CONFISCATE,CHAINING,1,2014,10
CONFISCATE,EVICTION,2,2014,10
CONFISCATE,NEGLECT,20,2014,10
CONFISCATE,POLICE,4,2014,10
DISPOSAL,OTHER,1,2014,10
DISPOSAL,OWNER,16,2014,10
DISPOSAL,STRAY,4,2014,10
ET REQUEST,AGGRESSIVE,1,2014,10
ET REQUEST,OLD,1,2014,10
ET REQUEST,SICK,1,2014,10
FOSTER,,2,2014,10
FOSTER,RETURN,72,2014,10
OWNER SUR,,1,2014,10
OWNER SUR,EUTH REQ,40,2014,10
OWNER SUR,FIELD,23,2014,10
OWNER SUR,OTC,139,2014,10
OWNER SUR,RETURN 30,10,2014,10
RETURN,,2,2014,10
RETURN,ADOPTION,6,2014,10
RETURN,K HUMANE S,1,2014,10
STRAY,FIELD,250,2014,10
STRAY,OTC,263,2014,10
CONFISCATE,ABANDONED,2,2014,11
CONFISCATE,BITE,1,2014,11
CONFISCATE,CHAINING,2,2014,11
CONFISCATE,EVICTION,15,2014,11
CONFISCATE,NEGLECT,1,2014,11
CONFISCATE,POLICE,1,2014,11
CONFISCATE,RESTRAINT,1,2014,11
DISPOSAL,OWNER,11,2014,11
DISPOSAL,STRAY,3,2014,11
DISPOSAL,WILDLIFE,2,2014,11
ET REQUEST,AGGRESSIVE,4,2014,11
ET REQUEST,OLD,1,2014,11
ET REQUEST,SICK,2,2014,11
FOSTER,RETURN,82,2014,11
OWNER SUR,EUTH REQ,38,2014,11
OWNER SUR,FIELD,13,2014,11
OWNER SUR,OTC,69,2014,11
OWNER SUR,RETURN 30,12,2014,11
RETURN,,2,2014,11
RETURN,ADOPTION,10,2014,11
RETURN,K HUMANE S,1,2014,11
STRAY,,1,2014,11
STRAY,FIELD,204,2014,11
STRAY,OTC,216,2014,11
CONFISCATE,,1,2014,12
CONFISCATE,ABANDONED,1,2014,12
CONFISCATE,CRUELTY,4,2014,12
CONFISCATE,EVICTION,2,2014,12
CONFISCATE,HOSPITAL,1,2014,12
CONFISCATE,OWNER DIED,2,2014,12
CONFISCATE,POLICE,1,2014,12
CONFISCATE,RESTRAINT,2,2014,12
DISPOSAL,FIELD,1,2014,12
DISPOSAL,OWNER,7,2014,12
DISPOSAL,STRAY,1,2014,12
DISPOSAL,WILDLIFE,1,2014,12
ET REQUEST,AGGRESSIVE,2,2014,12
FOSTER,RETURN,57,2014,12
OWNER SUR,EUTH REQ,38,2014,12
OWNER SUR,FIELD,9,2014,12
OWNER SUR,OTC,91,2014,12
OWNER SUR,RETURN 30,13,2014,12
RETURN,ADOPTION,11,2014,12
RETURN,K HUMANE S,3,2014,12
STRAY,FIELD,211,2014,12
STRAY,OTC,154,2014,12
CONFISCATE,ABANDONED,7,2015,1
CONFISCATE,NEGLECT,1,2015,1
CONFISCATE,POTDANGER,2,2015,1
CONFISCATE,RESTRAINT,1,2015,1
DISPOSAL,FIELD,6,2015,1
DISPOSAL,OWNER,8,2015,1
DISPOSAL,STRAY,1,2015,1
ET REQUEST,AGGRESSIVE,2,2015,1
ET REQUEST,OLD,1,2015,1
FOSTER,RETURN,68,2015,1
OWNER SUR,EUTH REQ,46,2015,1
OWNER SUR,FIELD,80,2015,1
OWNER SUR,OTC,103,2015,1
OWNER SUR,RETURN 30,12,2015,1
RETURN,,1,2015,1
RETURN,ADOPTION,11,2015,1
RETURN,K HUMANE S,1,2015,1
STRAY,FIELD,203,2015,1
STRAY,OTC,157,2015,1
CONFISCATE,,1,2015,2
CONFISCATE,ABANDONED,5,2015,2
CONFISCATE,CRUELTY,1,2015,2
CONFISCATE,EVICTION,4,2015,2
CONFISCATE,HOSPITAL,2,2015,2
CONFISCATE,NEGLECT,1,2015,2
CONFISCATE,POLICE,10,2015,2
DISPOSAL,,1,2015,2
DISPOSAL,OWNER,17,2015,2
DISPOSAL,STRAY,4,2015,2
DISPOSAL,WILDLIFE,1,2015,2
ET REQUEST,SICK,3,2015,2
FOSTER,RETURN,44,2015,2
OWNER SUR,EUTH REQ,31,2015,2
OWNER SUR,FIELD,29,2015,2
OWNER SUR,OTC,74,2015,2
OWNER SUR,RETURN 30,3,2015,2
RETURN,ADOPTION,11,2015,2
RETURN,K HUMANE S,4,2015,2
STRAY,FIELD,178,2015,2
STRAY,OTC,147,2015,2
CONFISCATE,ABANDONED,2,2015,3
CONFISCATE,BITE,1,2015,3
CONFISCATE,COURT ORD,1,2015,3
CONFISCATE,CRUELTY,7,2015,3
CONFISCATE,EVICTION,2,2015,3
CONFISCATE,NEGLECT,2,2015,3
CONFISCATE,POLICE,1,2015,3
CONFISCATE,POTDANGER,4,2015,3
DISPOSAL,OWNER,12,2015,3
DISPOSAL,STRAY,3,2015,3
DISPOSAL,WILDLIFE,1,2015,3
ET REQUEST,,1,2015,3
ET REQUEST,AGGRESSIVE,1,2015,3
ET REQUEST,SICK,2,2015,3
FOSTER,,1,2015,3
FOSTER,RETURN,44,2015,3
OWNER SUR,EUTH REQ,36,2015,3
OWNER SUR,FIELD,8,2015,3
OWNER SUR,OTC,103,2015,3
OWNER SUR,RETURN 30,3,2015,3
RETURN,,2,2015,3
RETURN,ADOPTION,9,2015,3
RETURN,K HUMANE S,2,2015,3
STRAY,,1,2015,3
STRAY,FIELD,195,2015,3
STRAY,OTC,188,2015,3
CONFISCATE,BITE,1,2015,4
CONFISCATE,CHAINING,1,2015,4
CONFISCATE,CRUELTY,1,2015,4
CONFISCATE,NEGLECT,5,2015,4
CONFISCATE,RESTRAINT,1,2015,4
DISPOSAL,OWNER,4,2015,4
DISPOSAL,STRAY,5,2015,4
ET REQUEST,AGGRESSIVE,2,2015,4
ET REQUEST,SICK,1,2015,4
FOR TRANSP,K HUMANE S,3,2015,4
FOSTER,RETURN,42,2015,4
OWNER SUR,EUTH REQ,51,2015,4
OWNER SUR,FIELD,5,2015,4
OWNER SUR,OTC,81,2015,4
OWNER SUR,RETURN 30,8,2015,4
RETURN,ADOPTION,16,2015,4
RETURN,K HUMANE S,2,2015,4
STRAY,,2,2015,4
STRAY,FIELD,232,2015,4
STRAY,OTC,200,2015,4
CONFISCATE,ABANDONED,7,2015,5
CONFISCATE,CRUELTY,2,2015,5
CONFISCATE,NEGLECT,9,2015,5
CONFISCATE,POTDANGER,1,2015,5
DISPOSAL,OWNER,9,2015,5
DISPOSAL,STRAY,1,2015,5
ET REQUEST,OLD,2,2015,5
FOR TRANSP,K HUMANE S,3,2015,5
FOSTER,RETURN,40,2015,5
OWNER SUR,EUTH REQ,50,2015,5
OWNER SUR,FIELD,8,2015,5
OWNER SUR,OTC,119,2015,5
OWNER SUR,RETURN 30,15,2015,5
RETURN,ADOPTION,7,2015,5
RETURN,K HUMANE S,1,2015,5
STRAY,FIELD,221,2015,5
STRAY,OTC,195,2015,5
CONFISCATE,CRUELTY,2,2015,6
CONFISCATE,HOSPITAL,1,2015,6
CONFISCATE,NEGLECT,3,2015,6
CONFISCATE,POLICE,6,2015,6
DISPOSAL,OTHER,1,2015,6
DISPOSAL,OWNER,11,2015,6
DISPOSAL,STRAY,8,2015,6
DISPOSAL,WILDLIFE,1,2015,6
ET REQUEST,,3,2015,6
ET REQUEST,AGGRESSIVE,4,2015,6
ET REQUEST,OLD,1,2015,6
FOR TRANSP,K HUMANE S,3,2015,6
FOSTER,RETURN,64,2015,6
OWNER SUR,,8,2015,6
OWNER SUR,EUTH REQ,35,2015,6
OWNER SUR,FIELD,55,2015,6
OWNER SUR,OTC,129,2015,6
OWNER SUR,RETURN 30,8,2015,6
RETURN,,1,2015,6
RETURN,ADOPTION,12,2015,6
RETURN,K HUMANE S,5,2015,6
STRAY,,2,2015,6
STRAY,FIELD,248,2015,6
STRAY,OTC,289,2015,6
CONFISCATE,BITE,1,2015,7
CONFISCATE,CRUELTY,4,2015,7
CONFISCATE,NEGLECT,4,2015,7
CONFISCATE,POLICE,5,2015,7
CONFISCATE,POTDANGER,3,2015,7
DISPOSAL,FIELD,1,2015,7
DISPOSAL,OTHER,2,2015,7
DISPOSAL,OWNER,10,2015,7
DISPOSAL,STRAY,10,2015,7
ET REQUEST,AGGRESSIVE,3,2015,7
ET REQUEST,SICK,2,2015,7
FOSTER,,1,2015,7
FOSTER,RETURN,52,2015,7
OWNER SUR,EUTH REQ,55,2015,7
OWNER SUR,FIELD,10,2015,7
OWNER SUR,OTC,114,2015,7
OWNER SUR,RETURN 30,8,2015,7
RETURN,,1,2015,7
RETURN,ADOPTION,7,2015,7
RETURN,K HUMANE S,1,2015,7
STRAY,,1,2015,7
STRAY,FIELD,242,2015,7
STRAY,OTC,342,2015,7
CONFISCATE,BITE,2,2015,8
CONFISCATE,CHAINING,1,2015,8
CONFISCATE,CRUELTY,1,2015,8
CONFISCATE,EVICTION,5,2015,8
CONFISCATE,HOSPITAL,1,2015,8
CONFISCATE,NEGLECT,5,2015,8
DISPOSAL,OTHER,1,2015,8
DISPOSAL,OWNER,8,2015,8
DISPOSAL,STRAY,2,2015,8
ET REQUEST,,20,2015,8
ET REQUEST,AGGRESSIVE,1,2015,8
ET REQUEST,SICK,3,2015,8
FOSTER,RETURN,60,2015,8
OWNER SUR,EUTH REQ,52,2015,8
OWNER SUR,FIELD,35,2015,8
OWNER SUR,OTC,109,2015,8
OWNER SUR,RETURN 30,7,2015,8
RETURN,ADOPTION,7,2015,8
STRAY,FIELD,253,2015,8
STRAY,OTC,319,2015,8
CONFISCATE,ABANDONED,4,2015,9
CONFISCATE,BITE,1,2015,9
CONFISCATE,CRUELTY,4,2015,9
CONFISCATE,EVICTION,1,2015,9
CONFISCATE,OWNER DIED,3,2015,9
CONFISCATE,POLICE,1,2015,9
CONFISCATE,RESTRAINT,3,2015,9
DISPOSAL,FIELD,1,2015,9
DISPOSAL,OWNER,13,2015,9
DISPOSAL,STRAY,1,2015,9
DISPOSAL,WILDLIFE,1,2015,9
ET REQUEST,,1,2015,9
ET REQUEST,AGGRESSIVE,1,2015,9
ET REQUEST,OLD,2,2015,9
ET REQUEST,SICK,2,2015,9
FOSTER,RETURN,62,2015,9
OWNER SUR,,1,2015,9
OWNER SUR,EUTH REQ,55,2015,9
OWNER SUR,FIELD,9,2015,9
OWNER SUR,OTC,62,2015,9
OWNER SUR,RETURN 30,12,2015,9
RETURN,,2,2015,9
RETURN,ADOPTION,10,2015,9
STRAY,,2,2015,9
STRAY,FIELD,173,2015,9
STRAY,OTC,243,2015,9
CONFISCATE,ABANDONED,1,2015,10
CONFISCATE,CHAINING,2,2015,10
CONFISCATE,CRUELTY,15,2015,10
CONFISCATE,EVICTION,8,2015,10
CONFISCATE,HOSPITAL,2,2015,10
CONFISCATE,NEGLECT,45,2015,10
CONFISCATE,POLICE,3,2015,10
CONFISCATE,POTDANGER,2,2015,10
CONFISCATE,RESTRAINT,2,2015,10
CONFISCATE,UNPERMITED,4,2015,10
DISPOSAL,FIELD,2,2015,10
DISPOSAL,OTHER,1,2015,10
DISPOSAL,OWNER,15,2015,10
DISPOSAL,STRAY,1,2015,10
ET REQUEST,AGGRESSIVE,4,2015,10
ET REQUEST,SICK,1,2015,10
FOSTER,RETURN,78,2015,10
OWNER SUR,EUTH REQ,46,2015,10
OWNER SUR,FIELD,80,2015,10
OWNER SUR,OTC,83,2015,10
OWNER SUR,RETURN 30,6,2015,10
RETURN,,3,2015,10
RETURN,ADOPTION,22,2015,10
STRAY,,1,2015,10
STRAY,FIELD,172,2015,10
STRAY,OTC,321,2015,10
CONFISCATE,ABANDONED,2,2015,11
CONFISCATE,BITE,2,2015,11
CONFISCATE,CRUELTY,1,2015,11
CONFISCATE,EVICTION,7,2015,11
CONFISCATE,NEGLECT,12,2015,11
CONFISCATE,RESTRAINT,5,2015,11
DISPOSAL,FIELD,1,2015,11
DISPOSAL,OWNER,13,2015,11
DISPOSAL,STRAY,2,2015,11
ET REQUEST,AGGRESSIVE,1,2015,11
ET REQUEST,SICK,1,2015,11
FOSTER,RETURN,61,2015,11
OWNER SUR,EUTH REQ,46,2015,11
OWNER SUR,FIELD,3,2015,11
OWNER SUR,OTC,89,2015,11
OWNER SUR,RETURN 30,14,2015,11
RETURN,ADOPTION,16,2015,11
RETURN,K HUMANE S,1,2015,11
STRAY,FIELD,136,2015,11
STRAY,OTC,222,2015,11
CONFISCATE,ABANDONED,4,2015,12
CONFISCATE,HOSPITAL,1,2015,12
CONFISCATE,NEGLECT,6,2015,12
CONFISCATE,OWNER DIED,4,2015,12
CONFISCATE,POLICE,6,2015,12
DISPOSAL,FIELD,2,2015,12
DISPOSAL,OWNER,10,2015,12
DISPOSAL,STRAY,2,2015,12
ET REQUEST,AGGRESSIVE,1,2015,12
ET REQUEST,OLD,1,2015,12
ET REQUEST,SICK,2,2015,12
FOSTER,RETURN,51,2015,12
OWNER SUR,EUTH REQ,42,2015,12
OWNER SUR,FIELD,6,2015,12
OWNER SUR,OTC,60,2015,12
OWNER SUR,RETURN 30,12,2015,12
RETURN,ADOPTION,19,2015,12
RETURN,K HUMANE S,2,2015,12
STRAY,,1,2015,12
STRAY,FIELD,156,2015,12
STRAY,OTC,166,2015,12
CONFISCATE,HOSPITAL,1,2016,1
CONFISCATE,NEGLECT,3,2016,1
CONFISCATE,POLICE,3,2016,1
CONFISCATE,POTDANGER,4,2016,1
CONFISCATE,RESTRAINT,6,2016,1
DISPOSAL,FIELD,1,2016,1
DISPOSAL,OTHER,3,2016,1
DISPOSAL,OWNER,9,2016,1
DISPOSAL,STRAY,1,2016,1
ET REQUEST,AGGRESSIVE,1,2016,1
ET REQUEST,OLD,1,2016,1
ET REQUEST,SICK,1,2016,1
FOSTER,RETURN,47,2016,1
OWNER SUR,EUTH REQ,20,2016,1
OWNER SUR,FIELD,11,2016,1
OWNER SUR,OTC,59,2016,1
OWNER SUR,RETURN 30,10,2016,1
RETURN,,1,2016,1
RETURN,ADOPTION,7,2016,1
RETURN,K HUMANE S,4,2016,1
STRAY,FIELD,164,2016,1
STRAY,OTC,148,2016,1
CONFISCATE,ABANDONED,1,2016,2
CONFISCATE,CRUELTY,2,2016,2
CONFISCATE,EVICTION,1,2016,2
CONFISCATE,POLICE,1,2016,2
DISPOSAL,OWNER,7,2016,2
DISPOSAL,STRAY,8,2016,2
ET REQUEST,AGGRESSIVE,1,2016,2
ET REQUEST,OLD,1,2016,2
FOSTER,RETURN,54,2016,2
OWNER SUR,EUTH REQ,37,2016,2
OWNER SUR,FIELD,9,2016,2
OWNER SUR,OTC,52,2016,2
OWNER SUR,RETURN 30,14,2016,2
RETURN,,3,2016,2
RETURN,ADOPTION,17,2016,2
RETURN,K HUMANE S,5,2016,2
STRAY,FIELD,126,2016,2
STRAY,OTC,174,2016,2
CONFISCATE,,1,2016,3
CONFISCATE,BITE,1,2016,3
CONFISCATE,CRUELTY,1,2016,3
CONFISCATE,EVICTION,1,2016,3
CONFISCATE,HOSPITAL,3,2016,3
CONFISCATE,NEGLECT,31,2016,3
CONFISCATE,POLICE,2,2016,3
CONFISCATE,POTDANGER,1,2016,3
CONFISCATE,RESTRAINT,6,2016,3
DISPOSAL,FIELD,2,2016,3
DISPOSAL,OWNER,11,2016,3
DISPOSAL,STRAY,3,2016,3
ET REQUEST,AGGRESSIVE,4,2016,3
ET REQUEST,OLD,3,2016,3
ET REQUEST,SICK,1,2016,3
FOSTER,RETURN,56,2016,3
OWNER SUR,EUTH REQ,35,2016,3
OWNER SUR,FIELD,21,2016,3
OWNER SUR,OTC,92,2016,3
OWNER SUR,RETURN 30,23,2016,3
RETURN,ADOPTION,17,2016,3
RETURN,K HUMANE S,1,2016,3
STRAY,FIELD,129,2016,3
STRAY,OTC,217,2016,3
CONFISCATE,ABANDONED,5,2016,4
CONFISCATE,BITE,3,2016,4
CONFISCATE,COURT ORD,3,2016,4
CONFISCATE,CRUELTY,4,2016,4
CONFISCATE,NEGLECT,1,2016,4
CONFISCATE,POLICE,15,2016,4
DISPOSAL,FIELD,2,2016,4
DISPOSAL,OWNER,9,2016,4
DISPOSAL,STRAY,4,2016,4
ET REQUEST,SICK,1,2016,4
FOSTER,RETURN,44,2016,4
OWNER SUR,EUTH REQ,33,2016,4
OWNER SUR,FIELD,12,2016,4
OWNER SUR,OTC,78,2016,4
OWNER SUR,RETURN 30,12,2016,4
RETURN,ADOPTION,10,2016,4
STRAY,,1,2016,4
STRAY,FIELD,149,2016,4
STRAY,OTC,213,2016,4
CONFISCATE,,1,2016,5
CONFISCATE,EVICTION,17,2016,5
CONFISCATE,NEGLECT,1,2016,5
CONFISCATE,POLICE,1,2016,5
CONFISCATE,RESTRAINT,1,2016,5
DISPOSAL,FIELD,1,2016,5
DISPOSAL,OWNER,9,2016,5
DISPOSAL,STRAY,1,2016,5
ET REQUEST,AGGRESSIVE,1,2016,5
ET REQUEST,SICK,1,2016,5
FOSTER,RETURN,49,2016,5
OWNER SUR,EUTH REQ,45,2016,5
OWNER SUR,FIELD,15,2016,5
OWNER SUR,OTC,77,2016,5
OWNER SUR,RETURN 30,13,2016,5
RETURN,ADOPTION,22,2016,5
RETURN,K HUMANE S,1,2016,5
STRAY,,2,2016,5
STRAY,FIELD,219,2016,5
STRAY,OTC,258,2016,5
CONFISCATE,ABANDONED,1,2016,6
CONFISCATE,BITE,4,2016,6
CONFISCATE,CRUELTY,4,2016,6
CONFISCATE,DANGER DOG,4,2016,6
CONFISCATE,NEGLECT,3,2016,6
CONFISCATE,POLICE,3,2016,6
CONFISCATE,POTDANGER,1,2016,6
CONFISCATE,RESTRAINT,3,2016,6
DISPOSAL,FIELD,3,2016,6
DISPOSAL,OWNER,12,2016,6
DISPOSAL,STRAY,2,2016,6
ET REQUEST,,1,2016,6
ET REQUEST,AGGRESSIVE,1,2016,6
ET REQUEST,OLD,2,2016,6
FOR TRANSP,RESCUE GRP,1,2016,6
FOSTER,RETURN,37,2016,6
OWNER SUR,EUTH REQ,53,2016,6
OWNER SUR,FIELD,30,2016,6
OWNER SUR,OTC,129,2016,6
OWNER SUR,RETURN 30,16,2016,6
RETURN,ADOPTION,16,2016,6
STRAY,FIELD,197,2016,6
STRAY,OTC,311,2016,6
CONFISCATE,BITE,1,2016,7
CONFISCATE,CRUELTY,1,2016,7
CONFISCATE,DANGER DOG,2,2016,7
CONFISCATE,EVICTION,15,2016,7
CONFISCATE,HOSPITAL,5,2016,7
CONFISCATE,NEGLECT,1,2016,7
CONFISCATE,POLICE,6,2016,7
DISPOSAL,OTHER,1,2016,7
DISPOSAL,OWNER,16,2016,7
DISPOSAL,STRAY,6,2016,7
ET REQUEST,AGGRESSIVE,3,2016,7
ET REQUEST,OLD,1,2016,7
ET REQUEST,SICK,1,2016,7
FOSTER,RETURN,52,2016,7
OWNER SUR,EUTH REQ,48,2016,7
OWNER SUR,FIELD,16,2016,7
OWNER SUR,OTC,126,2016,7
OWNER SUR,RETURN 30,12,2016,7
RETURN,ADOPTION,12,2016,7
STRAY,FIELD,188,2016,7
STRAY,OTC,293,2016,7
CONFISCATE,ABANDONED,1,2016,8
CONFISCATE,BITE,3,2016,8
CONFISCATE,CRUELTY,11,2016,8
CONFISCATE,EVICTION,1,2016,8
CONFISCATE,POLICE,2,2016,8
DISPOSAL,FIELD,1,2016,8
DISPOSAL,OWNER,7,2016,8
DISPOSAL,STRAY,3,2016,8
DISPOSAL,WILDLIFE,1,2016,8
ET REQUEST,AGGRESSIVE,1,2016,8
ET REQUEST,OLD,3,2016,8
ET REQUEST,SICK,2,2016,8
FOSTER,RETURN,54,2016,8
OWNER SUR,EUTH REQ,36,2016,8
OWNER SUR,FIELD,14,2016,8
OWNER SUR,OTC,134,2016,8
OWNER SUR,RETURN 30,17,2016,8
RETURN,ADOPTION,4,2016,8
STRAY,,2,2016,8
STRAY,FIELD,219,2016,8
STRAY,OTC,331,2016,8
CONFISCATE,,4,2016,9
CONFISCATE,ABANDONED,6,2016,9
CONFISCATE,BITE,2,2016,9
CONFISCATE,COURT ORD,2,2016,9
CONFISCATE,CRUELTY,14,2016,9
CONFISCATE,HOSPITAL,1,2016,9
CONFISCATE,NEGLECT,7,2016,9
CONFISCATE,OWNER DIED,1,2016,9
CONFISCATE,POLICE,1,2016,9
DISPOSAL,FIELD,1,2016,9
DISPOSAL,OTHER,1,2016,9
DISPOSAL,OWNER,7,2016,9
DISPOSAL,STRAY,4,2016,9
ET REQUEST,AGGRESSIVE,1,2016,9
ET REQUEST,SICK,2,2016,9
FOSTER,RETURN,59,2016,9
OWNER SUR,,3,2016,9
OWNER SUR,EUTH REQ,52,2016,9
OWNER SUR,FIELD,10,2016,9
OWNER SUR,OTC,123,2016,9
OWNER SUR,RETURN 30,15,2016,9
RETURN,,1,2016,9
RETURN,ADOPTION,17,2016,9
RETURN,K HUMANE S,10,2016,9
STRAY,FIELD,212,2016,9
STRAY,OTC,249,2016,9
CONFISCATE,ABANDONED,3,2016,10
CONFISCATE,BITE,2,2016,10
CONFISCATE,EVICTION,5,2016,10
CONFISCATE,NEGLECT,3,2016,10
CONFISCATE,POLICE,6,2016,10
CONFISCATE,POTDANGER,1,2016,10
DISPOSAL,OTHER,2,2016,10
DISPOSAL,OWNER,15,2016,10
DISPOSAL,STRAY,3,2016,10
ET REQUEST,AGGRESSIVE,1,2016,10
ET REQUEST,OLD,1,2016,10
ET REQUEST,SICK,1,2016,10
FOR TRANSP,RESCUE GRP,2,2016,10
FOSTER,RETURN,53,2016,10
OWNER SUR,EUTH REQ,59,2016,10
OWNER SUR,FIELD,11,2016,10
OWNER SUR,OTC,99,2016,10
OWNER SUR,RETURN 30,18,2016,10
RETURN,,1,2016,10
RETURN,ADOPTION,16,2016,10
RETURN,K HUMANE S,1,2016,10
STRAY,FIELD,149,2016,10
STRAY,OTC,219,2016,10
CONFISCATE,CRUELTY,2,2016,11
CONFISCATE,EVICTION,2,2016,11
CONFISCATE,NEGLECT,1,2016,11
CONFISCATE,POLICE,3,2016,11
DISPOSAL,FIELD,1,2016,11
DISPOSAL,OWNER,8,2016,11
DISPOSAL,STRAY,1,2016,11
ET REQUEST,OLD,1,2016,11
ET REQUEST,SICK,1,2016,11
FOSTER,RETURN,74,2016,11
OWNER SUR,EUTH REQ,36,2016,11
OWNER SUR,FIELD,10,2016,11
OWNER SUR,OTC,71,2016,11
OWNER SUR,RETURN 30,14,2016,11
RETURN,ADOPTION,14,2016,11
STRAY,FIELD,154,2016,11
STRAY,OTC,239,2016,11
CONFISCATE,BITE,11,2016,12
CONFISCATE,EVICTION,2,2016,12
CONFISCATE,NEGLECT,1,2016,12
CONFISCATE,POLICE,1,2016,12
DISPOSAL,FIELD,1,2016,12
DISPOSAL,OWNER,8,2016,12
DISPOSAL,STRAY,3,2016,12
FOSTER,RETURN,48,2016,12
OWNER SUR,,1,2016,12
OWNER SUR,EUTH REQ,24,2016,12
OWNER SUR,FIELD,9,2016,12
OWNER SUR,OTC,47,2016,12
OWNER SUR,RETURN 30,9,2016,12
